Slice	X	Y	AREA
482	33	21	104
483	29	21	56
484	23	26	41
485	23	26	NP
486	19	25	33
486	11	14	32	f
487	12	12	56
487	19	25	34	f
488	12	12	55
489	12	12	NP
490	12	12	NP
491	12	12	NP
492	12	12	NP
493	21	26	35
494	21	26	NP
495	21	26	NP
496	21	26	NP
497	21	26	NP
498	18	12	31
499	17	12	39
500	14	12	53
501	13	12	59
502	13	14	39
503	13	14	NP
504	12	14	39
505	19	12	36
506	24	13	53
507	30	14	125
508	32	15	142
509	32	15	145
510	32	15	141
511	32	16	135
512	36	18	128
513	42	21	123
514	41	21	108
515	42	22	80
516	44	19	119
517	44	19	118
518	44	19	135
519	43	18	125
520	43	18	121
521	42	18	120
522	41	18	139
523	40	18	144
524	40	18	146
525	40	18	153
526	41	18	134
527	41	18	134
528	41	18	133
529	40	18	140
530	41	17	119
531	38	18	125
532	34	19	99
533	34	19	NP
534	19	37	107
535	19	44	163
536	21	53	147
537	22	61	169
538	22	71	163
539	22	75	177
540	21	76	154
541	20	75	151
542	20	75	159
543	20	75	156
544	20	73	124
545	21	72	102
546	20	71	127
547	20	69	158
548	18	70	140
549	18	72	139
550	20	74	155
551	19	74	157
552	22	79	169
553	27	87	135
554	29	88	94
555	28	88	85
556	29	89	85
556	41	90	42	f
557	30	89	73
557	41	91	47	f
558	44	92	145
559	47	91	156
560	48	90	175
561	51	86	179
562	54	86	189
563	62	82	181
564	68	76	166
565	66	74	153
566	66	71	172
567	66	71	161
568	68	71	151
569	68	72	156
570	69	70	147
571	69	70	137
572	69	68	115
573	68	64	59
573	68	56	33	f
574	66	46	78
574	62	50	48	f
575	64	28	147
576	61	24	163
577	65	26	133
578	64	26	159
579	64	26	147
580	66	27	128
581	67	29	73
581	60	29	32	f
582	65	31	108
583	66	31	123
584	68	30	106
585	63	20	153
586	60	17	161
587	59	17	144
588	63	16	140
589	59	13	111
590	59	14	109
591	59	15	103
592	61	19	134
593	63	24	137
594	65	25	149
595	65	25	151
596	68	27	102
596	60	21	34	f
597	63	21	155
598	64	20	155
599	69	18	152
600	73	15	158
601	74	16	115
601	86	18	37	f
602	81	15	151
603	94	13	174
604	108	13	179
605	116	14	165
606	117	15	163
607	117	15	164
608	117	15	170
609	117	15	169
610	117	15	163
611	117	15	163
612	113	14	153
613	112	15	158
614	114	20	155
615	117	27	168
616	116	28	157
617	116	28	157
618	117	33	157
619	115	50	171
620	115	52	172
621	116	52	163
622	119	57	169
623	120	62	168
624	120	72	178
625	118	80	173
626	120	84	169
627	121	86	169
628	120	85	169
629	121	86	178
630	120	84	174
631	119	83	163
632	114	88	171
633	104	92	136
634	102	91	115
635	88	91	69
635	98	92	62	f
636	84	91	150
637	73	91	167
638	55	92	177
639	53	92	170
640	53	92	165
641	52	89	167
642	48	86	166
643	49	88	152
644	50	87	150
645	50	89	156
646	53	87	163
647	61	82	172
648	67	79	181
649	67	79	160
650	68	80	159
651	73	82	161
652	81	83	176
653	83	85	179
654	82	85	175
655	82	85	179
656	74	86	140
657	72	81	174
658	69	70	143
659	67	64	63
659	68	57	31	f
660	67	52	77
661	65	40	138
662	64	29	170
663	61	22	168
664	58	20	130
665	56	19	111
666	46	19	121
667	34	19	94
668	29	24	62
669	31	18	37
670	30	17	66
671	31	18	43
672	31	18	NP
673	31	18	NP
674	31	18	49
675	31	17	60
676	31	17	70
677	18	34	38
677	23	25	35	f
678	17	39	154
679	15	46	152
680	16	45	157
681	20	58	160
682	22	71	172
683	22	72	176
684	21	73	171
685	21	72	158
686	19	77	170
687	18	86	161
688	17	88	160
689	17	88	146
690	15	90	165
691	15	89	143
692	16	89	157
693	16	90	151
694	17	90	155
695	18	85	157
696	13	72	179
697	13	62	181
698	13	52	177
699	13	46	177
700	13	44	169
701	16	42	164
702	16	41	156
703	16	41	159
704	17	41	162
705	16	41	154
706	16	41	153
707	17	41	176
708	18	41	147
709	17	42	151
710	21	49	160
711	21	56	162
712	21	58	164
713	21	61	163
714	18	68	162
715	22	80	161
716	29	87	110
717	42	89	67
717	31	89	63	f
718	45	88	138
719	50	88	157
720	56	86	175
721	58	83	182
722	65	79	197
723	66	73	178
724	67	72	178
725	66	74	164
726	65	72	179
727	65	72	174
728	66	72	167
729	67	69	164
730	67	69	155
731	67	70	150
732	67	70	148
733	67	69	139
734	68	69	141
735	68	69	134
736	68	69	128
737	68	67	110
738	68	67	114
739	68	66	127
740	68	67	134
741	68	67	129
742	67	67	135
743	68	66	140
744	69	67	133
745	69	67	114
746	69	65	74
746	70	56	51	f
747	70	51	137
748	68	44	129
749	68	44	132
750	68	44	130
751	68	43	128
752	67	33	152
753	71	23	155
754	74	21	98
755	84	20	136
756	92	18	159
757	102	17	175
758	110	18	177
759	113	18	173
760	116	22	145
761	115	21	129
762	115	22	119
762	117	35	44	f
763	115	24	159
764	115	22	140
765	115	23	139
